Target	Source	weight	Type
R01_ES017793_91	178	0.14731595092024538	Undirected
R01_ES017793_91	278	0.2577453987730062	Undirected
R01_ES017793_91	346	0.15958588957055214	Undirected
R01_ES017290_92	204	0.19162234042553192	Undirected
R01_ES017290_92	234	0.21289893617021277	Undirected
R01_ES017290_92	290	0.13843085106382977	Undirected
R01_ES017290_92	358	0.19162234042553192	Undirected
K01_AT004951_93	139	0.20565068493150684	Undirected
K01_AT004951_93	229	0.28784246575342465	Undirected
P30_ES013508_94	66	0.31548076923076923	Undirected
P30_ES013508_94	255	0.44625000000000004	Undirected
R01_ES003358_95	61	0.14102112676056336	Undirected
R01_ES003358_95	70	0.12693661971830986	Undirected
R01_ES003358_95	133	0.23961267605633801	Undirected
R01_ES003358_95	190	0.18327464788732392	Undirected
R01_ES003358_95	240	0.16919014084507042	Undirected
R01ES015185_96	36	0.16882530120481926	Undirected
R01ES015185_96	221	0.301355421686747	Undirected
R01ES015185_96	273	0.19292168674698795	Undirected
R01ES015185_96	348	0.265210843373494	Undirected
R01_ES020750_97	17	0.27741596638655464	Undirected
R01_ES020750_97	60	0.33623949579831935	Undirected
P42_ES004699_98	109	0.5838541666666667	Undirected
P42_ES004699_98	394	0.12552083333333333	Undirected
T32_ES007272_99	22	0.23392857142857143	Undirected
T32_ES007272_99	70	0.22094155844155844	Undirected
T32_ES007272_99	92	0.2469155844155844	Undirected
T32_ES007272_99	295	0.16899350649350647	Undirected
R01_ES020382_100	62	0.1518939393939394	Undirected
R01_ES020382_100	77	0.3337121212121212	Undirected
R01_ES020382_100	354	0.1518939393939394	Undirected
ES004106_101	104	0.3849358974358974	Undirected
ES004106_101	275	0.41057692307692306	Undirected
R01_ES012458_102	25	0.281640625	Undirected
R01_ES012458_102	109	0.187890625	Undirected
R01_ES012458_102	186	0.312890625	Undirected
K01_ES016587_103	90	0.2144345238095238	Undirected
K01_ES016587_103	309	0.33348214285714284	Undirected
K01_ES016587_103	329	0.190625	Undirected
F32_NS071807_104	53	0.3566304347826087	Undirected
F32_NS071807_104	204	0.14793478260869564	Undirected
P30_ES017885_105	20	0.21059941520467837	Undirected
P30_ES017885_105	165	0.15211988304093566	Undirected
P30_ES017885_105	258	0.14042397660818712	Undirected
R15_ES013471_106	26	0.19362903225806452	Undirected
R15_ES013471_106	310	0.10330645161290322	Undirected
R15_ES013471_106	364	0.22588709677419358	Undirected
R15_ES013471_106	393	0.16782258064516128	Undirected
R01_ES023206_107	63	0.12913306451612902	Undirected
R01_ES023206_107	88	0.4436491935483871	Undirected
R01_ES023206_107	287	0.16139112903225805	Undirected
P50_ES012736_108	154	0.544078947368421	Undirected
K99_ES022269_109	22	0.11885593220338983	Undirected
K99_ES022269_109	34	0.20360169491525423	Undirected
K99_ES022269_109	83	0.11885593220338983	Undirected
K99_ES022269_109	182	0.2205508474576271	Undirected
P01_ES006052_110	178	0.112578125	Undirected
P01_ES006052_110	345	0.33132812500000003	Undirected
P01_ES006052_110	353	0.106328125	Undirected
P01_CA160032_111	243	0.19136029411764705	Undirected
P01_CA160032_111	255	0.5737132352941177	Undirected
P01_CA160032_111	305	0.1472426470588235	Undirected
K05_CA131675_112	133	0.345530303030303	Undirected
K05_CA131675_112	365	0.5394696969696969	Undirected
5-R01-ESO14677-02_113	266	0.2641	Undirected
5-R01-ESO14677-02_113	362	0.4561	Undirected
R21_ES017055_114	221	0.8354420731707316	Undirected
P01_NS040256_115	36	0.2569954128440367	Undirected
P01_NS040256_115	228	0.18360091743119267	Undirected
P01_NS040256_115	248	0.18360091743119267	Undirected
P01_NS040256_115	273	0.14690366972477065	Undirected
R01_ES005410_116	53	0.2814453125	Undirected
R01_ES005410_116	62	0.2501953125	Undirected
R01_ES005410_116	347	0.2814453125	Undirected
P01_HD044232_117	288	0.6379054054054054	Undirected
K08_HD073323_118	103	0.23712962962962966	Undirected
K08_HD073323_118	337	0.4519444444444445	Undirected
R01_AG025877_119	16	0.1055921052631579	Undirected
R01_AG025877_119	275	0.6582236842105263	Undirected
P30_AG013280_120	90	0.17919776119402986	Undirected
P30_AG013280_120	106	0.2762126865671642	Undirected
P30_AG013280_120	134	0.10457089552238806	Undirected
P30_AG013280_120	184	0.18666044776119403	Undirected
P30_AG013280_120	199	0.1194962686567164	Undirected
P42_ES004699_121	178	0.13285398230088494	Undirected
P42_ES004699_121	281	0.2125	Undirected
P42_ES004699_121	355	0.1682522123893805	Undirected
ES015869_122	62	0.11550480769230768	Undirected
ES015869_122	79	0.38473557692307697	Undirected
ES015869_122	231	0.1828125	Undirected
R01_ES019277_123	252	0.10387931034482759	Undirected
R01_ES019277_123	344	0.5176724137931035	Undirected
R01_ES016863_124	54	0.1513081395348837	Undirected
R01_ES016863_124	112	0.5699127906976744	Undirected
R01_ES016863_124	305	0.1513081395348837	Undirected
GM100136_125	104	0.40041666666666664	Undirected
GM100136_125	275	0.3670833333333333	Undirected
K01_DK087813_126	58	0.23839285714285713	Undirected
K01_DK087813_126	139	0.1193452380952381	Undirected
K01_DK087813_126	229	0.2622023809523809	Undirected
K25_ES012475_127	157	0.3880102040816326	Undirected
K25_ES012475_127	161	0.2655612244897959	Undirected
K25_ES012475_127	194	0.1839285714285714	Undirected
G12_MD007595_128	296	0.11002747252747253	Undirected
G12_MD007595_128	357	0.29684065934065934	Undirected
G12_MD007595_128	398	0.3517857142857143	Undirected
R01_ES015462_129	46	0.14046052631578948	Undirected
R01_ES015462_129	102	0.13168859649122808	Undirected
R01_ES015462_129	337	0.3860745614035088	Undirected
R01_ES015462_129	386	0.1580043859649123	Undirected
K99_CA177868_130	46	0.1275	Undirected
K99_CA177868_130	205	0.3275	Undirected
K99_CA177868_130	305	0.18204545454545454	Undirected
K99_CA177868_130	318	0.10931818181818183	Undirected
R00_ES020353_131	75	0.3266156462585034	Undirected
R00_ES020353_131	187	0.10212585034013605	Undirected
P42_ES013661_132	85	0.12714088397790055	Undirected
P42_ES013661_132	138	0.331560773480663	Undirected
P42_ES013661_132	151	0.30946132596685083	Undirected
U01_ES020127_133	93	0.10180084745762712	Undirected
U01_ES020127_133	204	0.2458686440677966	Undirected
U01_ES020127_133	224	0.10180084745762712	Undirected
U01_ES020127_133	283	0.1865466101694915	Undirected
U01_ES020127_133	302	0.11875	Undirected
P60_AR062755_134	90	0.10355603448275862	Undirected
P60_AR062755_134	151	0.14665948275862067	Undirected
P60_AR062755_134	173	0.4397629310344828	Undirected
P60_AR062755_134	374	0.13803879310344827	Undirected
RC1_ES018195_135	78	0.33575174825174825	Undirected
RC1_ES018195_135	92	0.1888986013986014	Undirected
RC1_ES018195_135	186	0.19589160839160838	Undirected
P42_ES013648_136	329	0.3521	Undirected
P42_ES013648_136	352	0.2321	Undirected
P42_ES013648_136	364	0.15209999999999999	Undirected
R01_ES020689_137	93	0.11353092783505155	Undirected
R01_ES020689_137	281	0.278479381443299	Undirected
R01_ES020689_137	308	0.16507731958762886	Undirected
R01_ES020689_137	366	0.11353092783505155	Undirected
